Iteration,term,unconditional,conditional,selection,beta,gamma
1,age,-0.029416848549224803,0.001660008737473508,-0.03107685728669831,0,-0.042427423539680514
1,educ,0.192787899090392,0.09716920572846732,0.09561869336192469,0.10227679640220429,0.13054263383684084
1,exper,0.13250073404018903,0.04886748793009216,0.08363324611009687,0.053334861126977696,0.11417960065833939
1,huswage,-0.0012444990405263926,0.012141836641801613,-0.013386335682328006,0.011426788978184442,-0.01827558457404136
1,I(exper^2),-0.0019048091974656562,-7.954901343833676e-4,-0.0011093190630822886,-8.547457830602603e-4,-0.0015144887173060156
1,kids5,-0.645098302210654,0.03640324749291444,-0.6815015497035685,0,-0.9304143795968074
1,kids618,0.08116688414412826,-0.004580291347228747,0.085747175491357,0,0.11706562534108901
2,age,-0.019729173924999448,0.009183287482913203,-0.02891246140791265,0,-0.039929730998618684
2,educ,0.20666455419845203,0.08656599919399793,0.12009855500445411,0.12471216535149185,0.16586284118093966
2,exper,0.1333900501772612,0.024155131583793843,0.10923491859346735,0.05885074765271481,0.1508595499205565
2,huswage,0.0025483834934457404,0.020784131038972226,-0.018235747545526485,0.014992022583945715,-0.02518459026294858
2,I(exper^2),-0.0027046167436490277,-5.007100639467996e-4,-0.002203906679702228,-0.0012007234021290446,-0.003043718748984995
2,kids5,-0.4354882518473493,0.20270558855370965,-0.638193840401059,0,-0.8813814919685672
2,kids618,0.010637996405093776,-0.004951640631358875,0.015589637036452652,0,0.021530163220945857
3,age,-0.055472931297319485,-0.002126591961072753,-0.05334633933624673,0,-0.07101804268449255
3,educ,0.21195750752957543,0.11420938064276517,0.09774812688681025,0.11031276124143785,0.13012852866663244
3,exper,0.1465224710466467,0.06163159937475146,0.08489087167189524,0.05824752002625061,0.11301213209623392
3,huswage,0.01672291587673782,0.025712065589639337,-0.008989149712901517,0.02607040795678555,-0.011966928301945769
3,I(exper^2),-0.0024921696721135088,-0.001270858709116464,-0.001221310962997045,-0.00122217251793268,-0.0016258868964646978
3,kids5,-0.755887781288979,-0.028977464171610064,-0.726910317117369,0,-0.9677092856072136
3,kids618,-0.05717621914127188,-0.0021918886409422215,-0.054984330500329665,0,-0.073198640788412
4,age,-0.04024051445877084,0.0011034730420562617,-0.0413439875008271,0,-0.05512434610129839
4,educ,0.1968382295482705,0.095008268688772185,0.1018299608594983,0.09772611530866711,0.13577089064736092
4,exper,0.13460880586287371,0.026748634580393615,0.10786017128248009,0.029627427810471063,0.1438110296497601
4,huswage,-0.005804801421302259,0.02086817377133585,-0.02667297519263811,0.02015627076304661,-0.035563340764867314
4,I(exper^2),-0.0022249564363207848,-5.059193238338911e-4,-0.0017190371124868938,-5.51800508175038e-4,-0.002292009128239225
4,kids5,-0.5691777342321809,0.015607958653395896,-0.5847856928855768,0,-0.7797005291051626
4,kids618,0.04717596308531619,-0.0012936565100583922,0.04846961959537459,0,0.06462502161699453
5,age,-0.044618011084743274,-0.004458794932161695,-0.04015921615258158,0,-0.05324121235184949
5,educ,0.24873855019217214,0.11548199931794084,0.1332565508742313,0.10068679934546393,0.1766653087902441
5,exper,0.15603180112332377,0.04351901000101893,0.11251279112230482,0.03102694688520907,0.14916420135498182
5,huswage,-0.023875217135354433,0.018763917983851006,-0.04263913511920544,0.02349805320349596,-0.05652897304458184
5,I(exper^2),-0.0029929323225836037,-9.66691278038348e-4,-0.0020262410445452557,-7.417219144324891e-4,-0.002686295701559215
5,kids5,-0.6306124622395298,-0.0630187581748368,-0.567593704064693,0,-0.7524892122611444
5,kids618,0.0331919903630136,0.0033169626978189278,0.029875027665194672,0,0.03960691577984794
6,age,-0.04497123916936769,-0.0013845277961375127,-0.043586711373230176,0,-0.05364891366971389
6,educ,0.23680699340732148,0.08765553495929616,0.14915145844802533,0.08291775287962842,0.18358379115760806
6,exper,0.110644434548712,0.030053274326523903,0.08059116022218811,0.027493303685583986,0.09919601780183192
6,huswage,-0.03747049654714977,-0.008672202944986796,-0.02879829360216297,-0.007757427851447343,-0.03544651841401396
6,I(exper^2),-0.0013108686687094947,-4.6449518244299077e-4,-8.463734862665039e-4,-4.3761020808428077e-4,-0.0010417628829169766
6,kids5,-1.0322984938816377,-0.03178133369434821,-1.0005171601872895,0,-1.2314913665388851
6,kids618,0.06387964097900689,0.001966660029305203,0.061912980949701685,0,0.07620589086345259
7,age,-0.0587322149685778,9.22093626651229e-5,-0.05882442433124292,0,-0.07644314144006946
7,educ,0.18475332869165303,0.10032646172976248,0.08442686696189056,0.10045880382546292,0.1097138647063979
7,exper,0.11470386758140148,0.022655262751930905,0.09204860482947058,0.02279955219091877,0.1196184169813125
7,huswage,0.018652075370316615,0.028650961773701834,-0.009998886403385218,0.028635288166129827,-0.012993689207617164
7,I(exper^2),-0.0015424601085776816,-2.3562295753876912e-4,-0.0013068371510389124,-2.3767147092711692e-4,-0.0016982526954020122
7,kids5,-0.6893175466588375,0.0010822260268117498,-0.6903997726856492,0,-0.8971839176260369
7,kids618,-0.037284528270433145,5.8536573002154714e-5,-0.0373430648434353,0,-0.04852782190536898
8,age,-0.045914780172115574,-0.005478370303779484,-0.04043640986833609,0,-0.05353044329212562
8,educ,0.20142027876690688,0.10928407785163388,0.09213620091527298,0.09680136168962011,0.12197155222993744
8,exper,0.150674448041417,0.048642164979672435,0.10203228306174456,0.03481871647441855,0.135072162938969
